,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,,2026,,,2027,,,2028,,,2029,,,2030,,
 Butambala  ,,50600,51100,101700,51400,51600,103000,52100,52200,104300,52800,52700,105500,53500,53200,106700,54200,53600,107800,54900,54100,109000,55500,54500,110000,56100,54800,110900,56700,55200,111900,57200,55500,112700,57600,55700,113300,58100,56000,114100,58400,56100,114500,58700,56200,114900,58900,56200,115100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Budde ,7000,6800,13800,7100,6900,14000,7200,7000,14200,7300,7100,14400,7400,7100,14500,7500,7200,14700,7600,7200,14800,7700,7300,15000,7800,7300,15100,7900,7400,15300,7900,7400,15300,8000,7500,15500,8100,7500,15600,8100,7500,15600,8100,7500,15600,8200,7500,15700
,    Bulo ,9400,9700,19100,9500,9800,19300,9600,9900,19500,9800,10000,19800,9900,10100,20000,10000,10200,20200,10200,10300,20500,10300,10400,20700,10400,10400,20800,10500,10500,21000,10600,10600,21200,10700,10600,21300,10700,10700,21400,10800,10700,21500,10900,10700,21600,10900,10700,21600
,    Gombe Town Council ,7700,8000,15700,7800,8100,15900,7900,8200,16100,8000,8300,16300,8100,8400,16500,8200,8400,16600,8300,8500,16800,8400,8600,17000,8500,8600,17100,8600,8700,17300,8700,8700,17400,8700,8700,17400,8800,8800,17600,8800,8800,17600,8900,8800,17700,8900,8800,17700
,    Kalamba ,9900,9700,19600,10200,9700,19900,10400,9800,20200,10400,9800,20200,10600,10000,20600,10800,10100,20900,10800,10200,21000,11000,10200,21200,11100,10400,21500,11200,10400,21600,11300,10400,21700,11400,10500,21900,11500,10500,22000,11700,10500,22200,11600,10600,22200,11700,10600,22300
,    Kibibi ,7000,7600,14600,7100,7700,14800,7200,7800,15000,7300,7900,15200,7400,7900,15300,7500,8000,15500,7600,8100,15700,7600,8100,15700,7700,8200,15900,7800,8200,16000,7900,8300,16200,7900,8300,16200,8000,8300,16300,8000,8400,16400,8100,8400,16500,8100,8400,16500
,    Ngando ,9600,9300,18900,9700,9400,19100,9800,9500,19300,10000,9600,19600,10100,9700,19800,10200,9700,19900,10400,9800,20200,10500,9900,20400,10600,9900,20500,10700,10000,20700,10800,10100,20900,10900,10100,21000,11000,10200,21200,11000,10200,21200,11100,10200,21300,11100,10200,21300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Buvuma  ,,50800,43700,94500,54000,46700,100700,57300,49900,107200,60800,53200,114000,64500,56800,121300,68400,60500,128900,72500,64500,137000,76700,68600,145300,81200,73000,154200,85800,77700,163500,90600,82500,173100,95600,87600,183200,100800,93000,193800,106200,98500,204700,111700,104400,216100,117400,110200,227600
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Bugaya ,2800,2300,5100,3000,2500,5500,3100,2600,5700,3300,2800,6100,3500,3000,6500,3700,3200,6900,4000,3400,7400,4200,3600,7800,4400,3900,8300,4700,4100,8800,5000,4400,9400,5200,4600,9800,5500,4900,10400,5800,5200,11000,6100,5500,11600,6400,5800,12200
, Busamuzi ,8800,8300,17100,9400,8900,18300,9900,9500,19400,10500,10100,20600,11200,10800,22000,11900,11500,23400,12600,12300,24900,13300,13000,26300,14100,13900,28000,14900,14800,29700,15700,15700,31400,16600,16700,33300,17500,17700,35200,18400,18700,37100,19400,19900,39300,20400,21000,41400
, Buvuma Town Council ,5500,4900,10400,5800,5300,11100,6200,5600,11800,6600,6000,12600,7000,6400,13400,7400,6800,14200,7800,7300,15100,8300,7800,16100,8800,8300,17100,9300,8800,18100,9800,9300,19100,10400,9900,20300,10900,10500,21400,11500,11100,22600,12100,11800,23900,12700,12500,25200
, Buwooya ,6900,6600,13500,7300,7000,14300,7800,7500,15300,8300,8000,16300,8800,8600,17400,9300,9100,18400,9900,9700,19600,10400,10300,20700,11000,11000,22000,11700,11700,23400,12300,12400,24700,13000,13200,26200,13700,14000,27700,14400,14900,29300,15200,15700,30900,16000,16600,32600
, Bweema ,5100,4200,9300,5400,4400,9800,5700,4800,10500,6100,5100,11200,6400,5400,11800,6800,5800,12600,7200,6100,13300,7600,6500,14100,8100,7000,15100,8500,7400,15900,9000,7900,16900,9500,8300,17800,10000,8900,18900,10600,9400,20000,11100,9900,21000,11700,10500,22200
, Lubya ,3600,3100,6700,3900,3400,7300,4100,3600,7700,4400,3800,8200,4600,4100,8700,4900,4400,9300,5200,4600,9800,5500,4900,10400,5800,5300,11100,6100,5600,11700,6500,5900,12400,6900,6300,13200,7200,6700,13900,7600,7100,14700,8000,7500,15500,8400,7900,16300
, Lwajje ,2700,1900,4600,2800,2100,4900,3000,2200,5200,3200,2400,5600,3400,2500,5900,3600,2700,6300,3800,2900,6700,4000,3000,7000,4300,3200,7500,4500,3400,7900,4800,3700,8500,5000,3900,8900,5300,4100,9400,5600,4400,10000,5900,4600,10500,6200,4900,11100
, Lyabaana ,4800,2600,7400,5100,2800,7900,5400,3000,8400,5700,3200,8900,6000,3400,9400,6400,3600,10000,6800,3900,10700,7200,4100,11300,7600,4400,12000,8000,4700,12700,8500,5000,13500,8900,5300,14200,9400,5600,15000,9900,5900,15800,10500,6300,16800,11000,6600,17600
, Nairambi ,10600,9800,20400,11300,10300,21600,12100,11100,23200,12700,11800,24500,13600,12600,26200,14400,13400,27800,15200,14300,29500,16200,15400,31600,17100,16000,33100,18100,17200,35300,19000,18200,37200,20100,19400,39500,21300,20600,41900,22400,21800,44200,23400,23200,46600,24600,24400,49000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Gomba ,,83300,78400,161700,84800,79300,164100,86400,80200,166600,87900,81200,169100,89400,82000,171400,90900,82900,173800,92400,83700,176100,93800,84400,178200,95100,85200,180300,96400,85800,182200,97700,86400,184100,98800,87000,185800,99900,87400,187300,100900,87800,188700,101800,88100,189900,102600,88200,190800
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Kabulasoke ,25900,24500,50400,26400,24700,51100,26900,25100,52000,27400,25500,52900,27900,25700,53600,28400,26000,54400,28800,26300,55100,29200,26400,55600,29600,26700,56300,30000,26800,56800,30400,27100,57500,30800,27300,58100,31200,27400,58600,31500,27400,58900,31700,27600,59300,32000,27600,59600
,    Kanoni Town Council ,6400,6200,12600,6500,6300,12800,6600,6400,13000,6700,6400,13100,6800,6500,13300,6900,6600,13500,7100,6600,13700,7200,6700,13900,7300,6800,14100,7400,6800,14200,7500,6800,14300,7500,6900,14400,7600,6900,14500,7700,7000,14700,7800,7000,14800,7800,7000,14800
,    Kyegonza ,15700,14900,30600,16000,15100,31100,16300,15200,31500,16600,15400,32000,16800,15600,32400,17100,15700,32800,17400,15900,33300,17700,16000,33700,17900,16200,34100,18200,16300,34500,18400,16400,34800,18600,16500,35100,18800,16600,35400,19000,16700,35700,19200,16700,35900,19300,16800,36100
,    Maddu ,18600,17200,35800,18900,17400,36300,19300,17600,36900,19600,17800,37400,20000,17900,37900,20300,18100,38400,20600,18300,38900,20900,18500,39400,21200,18600,39800,21500,18800,40300,21800,18900,40700,22100,19000,41100,22300,19100,41400,22500,19200,41700,22700,19300,42000,22900,19300,42200
,    Mpenja ,16700,15600,32300,17000,15800,32800,17300,15900,33200,17600,16100,33700,17900,16300,34200,18200,16500,34700,18500,16600,35100,18800,16800,35600,19100,16900,36000,19300,17100,36400,19600,17200,36800,19800,17300,37100,20000,17400,37400,20200,17500,37700,20400,17500,37900,20600,17500,38100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Kalangala  ,,32200,23700,55900,33400,24700,58100,34600,25700,60300,35800,26700,62500,37000,27800,64800,38300,28900,67200,39500,30000,69500,40800,31200,72000,42100,32400,74500,43400,33600,77000,44700,34800,79500,46000,36000,82000,47300,37200,84500,48600,38500,87100,49900,39800,89700,51100,41000,92100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Bubeke ,3100,2200,5300,3200,2300,5500,3300,2400,5700,3500,2500,6000,3600,2600,6200,3700,2700,6400,3800,2800,6600,3900,2900,6800,4100,3000,7100,4200,3100,7300,4300,3200,7500,4400,3300,7700,4600,3400,8000,4700,3500,8200,4800,3700,8500,4900,3800,8700
, Bufumira ,6200,4400,10600,6400,4600,11000,6600,4800,11400,6900,5000,11900,7100,5200,12300,7400,5400,12800,7600,5600,13200,7800,5800,13600,8100,6000,14100,8300,6300,14600,8600,6500,15100,8800,6700,15500,9100,6900,16000,9300,7200,16500,9600,7400,17000,9800,7600,17400
, Bujumba ,6900,5000,11900,7200,5200,12400,7400,5400,12800,7700,5600,13300,8000,5800,13800,8200,6100,14300,8500,6300,14800,8800,6500,15300,9100,6800,15900,9300,7000,16300,9600,7300,16900,9900,7600,17500,10200,7800,18000,10500,8100,18600,10700,8300,19000,11000,8600,19600
, Kalangala Town Council ,2700,2400,5100,2800,2500,5300,2900,2600,5500,3000,2700,5700,3100,2900,6000,3200,3000,6200,3300,3100,6400,3400,3200,6600,3500,3300,6800,3600,3500,7100,3700,3600,7300,3800,3700,7500,4000,3800,7800,4100,4000,8100,4200,4100,8300,4300,4200,8500
, Kyamuswa ,2800,2100,4900,2900,2200,5100,3000,2200,5200,3100,2300,5400,3200,2400,5600,3300,2500,5800,3400,2600,6000,3600,2700,6300,3700,2800,6500,3800,2900,6700,3900,3000,6900,4000,3100,7100,4100,3200,7300,4200,3400,7600,4400,3500,7900,4500,3600,8100
, Mazinga ,3500,2000,5500,3700,2100,5800,3800,2200,6000,3900,2300,6200,4000,2400,6400,4200,2500,6700,4300,2500,6800,4500,2600,7100,4600,2700,7300,4700,2800,7500,4900,3000,7900,5000,3100,8100,5200,3200,8400,5300,3300,8600,5500,3400,8900,5600,3500,9100
, Mugoye ,7000,5600,12600,7200,5800,13000,7600,6100,13700,7700,6300,14000,8000,6500,14500,8300,6700,15000,8600,7100,15700,8800,7500,16300,9000,7800,16800,9500,8000,17500,9700,8200,17900,10100,8500,18600,10100,8900,19000,10500,9000,19500,10700,9400,20100,11000,9700,20700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Kalungu  ,,90500,94100,184600,91600,95000,186600,92700,95900,188600,93700,96800,190500,94800,97600,192400,95700,98400,194100,96700,99100,195800,97500,99800,197300,98400,100400,198800,99100,100900,200000,99800,101400,201200,100300,101800,202100,100800,102100,202900,101200,102300,203500,101500,102400,203900,101600,102300,203900
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    Bukulula ,21700,22600,44300,21900,22800,44700,22200,22900,45100,22500,23200,45700,22700,23400,46100,22900,23600,46500,23100,23800,46900,23400,23800,47200,23700,24000,47700,23800,24200,48000,23900,24400,48300,24000,24400,48400,24200,24400,48600,24100,24600,48700,24300,24600,48900,24400,24600,49000
,    Kalungu ,19300,20700,40000,19600,20900,40500,19800,21100,40900,20000,21300,41300,20200,21500,41700,20400,21700,42100,20600,21800,42400,20800,22000,42800,21000,22100,43100,21200,22200,43400,21300,22300,43600,21400,22400,43800,21500,22500,44000,21600,22500,44100,21700,22500,44200,21700,22500,44200
,    Kalungu Town Council ,4100,4100,8200,4100,4100,8200,4200,4200,8400,4200,4200,8400,4300,4300,8600,4300,4300,8600,4400,4300,8700,4400,4400,8800,4400,4400,8800,4500,4400,8900,4500,4400,8900,4500,4400,8900,4500,4500,9000,4600,4500,9100,4600,4500,9100,4600,4500,9100
,    Kyamulibwa ,14100,14400,28500,14300,14500,28800,14400,14700,29100,14600,14800,29400,14800,14900,29700,14900,15000,29900,15100,15100,30200,15200,15300,30500,15300,15300,30600,15400,15400,30800,15500,15500,31000,15600,15600,31200,15700,15600,31300,15800,15600,31400,15800,15600,31400,15800,15600,31400
,    Lukaya Town Council ,11700,12600,24300,11800,12800,24600,12000,12900,24900,12100,13000,25100,12300,13100,25400,12400,13200,25600,12500,13300,25800,12600,13400,26000,12700,13500,26200,12800,13600,26400,12900,13600,26500,13000,13700,26700,13000,13700,26700,13100,13700,26800,13100,13800,26900,13100,13700,26800
,    Lwabenge ,17300,17200,34500,17500,17400,34900,17700,17500,35200,17900,17700,35600,18100,17800,35900,18300,18000,36300,18500,18100,36600,18600,18200,36800,18800,18400,37200,18900,18400,37300,19100,18500,37600,19200,18600,37800,19300,18700,38000,19400,18700,38100,19400,18700,38100,19400,18700,38100
, Kyamulibwa Town Council ,2300,2500,4800,2400,2500,4900,2400,2600,5000,2400,2600,5000,2400,2600,5000,2500,2600,5100,2500,2700,5200,2500,2700,5200,2500,2700,5200,2500,2700,5200,2600,2700,5300,2600,2700,5300,2600,2700,5300,2600,2700,5300,2600,2700,5300,2600,2700,5300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Kayunga ,,183600,189600,373200,187400,192700,380100,191200,195900,387100,195000,199000,394000,198800,202100,400900,202600,205100,407700,206300,208000,414300,209900,210900,420800,213400,213700,427100,216800,216300,433100,220100,218800,438900,223200,221200,444400,226200,223400,449600,229000,225400,454400,231600,227300,458900,233800,228500,462300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Bbaale ,9100,8300,17400,9300,8500,17800,9400,8600,18000,9600,8800,18400,9800,8900,18700,10000,9000,19000,10200,9200,19400,10400,9300,19700,10500,9400,19900,10700,9500,20200,10900,9600,20500,11000,9700,20700,11200,9800,21000,11300,9900,21200,11400,10000,21400,11500,10100,21600
, Busaana ,28200,29100,57300,28700,29600,58300,29300,30100,59400,29900,30600,60500,30500,31000,61500,31100,31500,62600,31600,31900,63500,32200,32400,64600,32700,32800,65500,33200,33200,66400,33800,33600,67400,34200,34000,68200,34700,34300,69000,35100,34600,69700,35500,34900,70400,35900,35100,71000
, Galiraya ,12600,11900,24500,12900,12100,25000,13200,12300,25500,13400,12400,25800,13700,12600,26300,13900,12800,26700,14200,13000,27200,14400,13200,27600,14700,13400,28100,14900,13500,28400,15100,13700,28800,15400,13800,29200,15600,14000,29600,15800,14100,29900,15900,14200,30100,16100,14300,30400
, Kangulumira ,26300,28200,54500,26800,28700,55500,27300,29200,56500,27900,29600,57500,28400,30100,58500,29000,30600,59600,29500,31000,60500,30000,31400,61400,30500,31800,62300,31000,32200,63200,31500,32600,64100,31900,33000,64900,32400,33300,65700,32800,33600,66400,33100,33900,67000,33400,34000,67400
, Kayonza ,30000,30200,60200,30800,30500,61300,31300,31000,62300,32000,31800,63800,32700,32200,64900,33200,32700,65900,33900,33000,66900,34400,33600,68000,35100,33900,69000,35700,34400,70100,36100,34900,71000,36600,35200,71800,37000,35500,72500,37600,35900,73500,38200,36100,74300,38300,36300,74600
, Kayunga ,20700,21700,42400,21100,22000,43100,21600,22400,44000,22000,22700,44700,22400,23100,45500,22800,23400,46200,23300,23800,47100,23700,24100,47800,24100,24400,48500,24400,24700,49100,24800,25000,49800,25200,25300,50500,25500,25500,51000,25800,25800,51600,26100,26000,52100,26400,26100,52500
, Kayunga Town Council ,13000,14400,27400,13300,14700,28000,13600,14900,28500,13800,15100,28900,14100,15400,29500,14400,15600,30000,14600,15800,30400,14900,16000,30900,15100,16300,31400,15400,16500,31900,15600,16600,32200,15800,16800,32600,16000,17000,33000,16200,17100,33300,16400,17300,33700,16600,17400,34000
, Kitimbwa ,22500,23700,46200,22900,24100,47000,23400,24500,47900,23900,24800,48700,24300,25200,49500,24800,25600,50400,25200,26000,51200,25700,26300,52000,26100,26700,52800,26500,27000,53500,26900,27300,54200,27300,27600,54900,27700,27900,55600,28000,28100,56100,28300,28400,56700,28600,28500,57100
, Nazigo ,21200,22100,43300,21600,22500,44100,22100,22900,45000,22500,23200,45700,22900,23600,46500,23400,23900,47300,23800,24300,48100,24200,24600,48800,24600,25000,49600,25000,25300,50300,25400,25500,50900,25800,25800,51600,26100,26100,52200,26400,26300,52700,26700,26500,53200,27000,26700,53700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Kiboga  ,,77500,73700,151200,79700,75400,155100,81900,77200,159100,84100,79000,163100,86300,80800,167100,88600,82600,171200,90800,84400,175200,93100,86200,179300,95300,88000,183300,97500,89700,187200,99700,91400,191100,101800,93100,194900,103900,94700,198600,105900,96300,202200,107900,97700,205600,109600,99000,208600
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Bukomero ,8100,7300,15400,8400,7400,15800,8600,7600,16200,8800,7800,16600,9100,8000,17100,9300,8100,17400,9500,8300,17800,9800,8500,18300,10000,8700,18700,10200,8800,19000,10500,9000,19500,10700,9200,19900,10900,9300,20200,11100,9500,20600,11300,9600,20900,11500,9700,21200
, Bukomero Town Council ,7300,7200,14500,7500,7400,14900,7700,7600,15300,7900,7700,15600,8100,7900,16000,8300,8100,16400,8500,8300,16800,8700,8400,17100,8900,8600,17500,9100,8800,17900,9300,8900,18200,9500,9100,18600,9700,9300,19000,9900,9400,19300,10100,9600,19700,10300,9700,20000
, Ddwaniro ,6800,5500,12300,7000,5700,12700,7200,5800,13000,7400,5900,13300,7600,6100,13700,7800,6200,14000,8000,6300,14300,8200,6500,14700,8400,6600,15000,8600,6700,15300,8800,6900,15700,9000,7000,16000,9100,7100,16200,9300,7200,16500,9500,7300,16800,9600,7400,17000
, Kapeke ,8300,7500,15800,8600,7700,16300,8800,7900,16700,9000,8100,17100,9300,8300,17600,9500,8500,18000,9800,8600,18400,10000,8800,18800,10300,9000,19300,10500,9200,19700,10700,9400,20100,11000,9500,20500,11200,9700,20900,11400,9900,21300,11600,10000,21600,11800,10100,21900
, Kibiga ,13500,12900,26400,13700,13000,26700,14200,13400,27600,14600,13700,28300,14900,14000,28900,15300,14300,29600,15700,14700,30400,16200,15000,31200,16400,15300,31700,16900,15500,32400,17300,15700,33000,17500,16100,33600,18000,16500,34500,18300,16700,35000,18800,17000,35800,19100,17300,36400
, Kiboga Town Council ,9500,10200,19700,9800,10500,20300,10000,10700,20700,10300,11000,21300,10600,11200,21800,10900,11500,22400,11100,11700,22800,11400,12000,23400,11700,12200,23900,11900,12500,24400,12200,12700,24900,12500,12900,25400,12700,13100,25800,13000,13400,26400,13200,13600,26800,13400,13700,27100
, Lwamata ,11300,10400,21700,11700,10700,22400,12000,10900,22900,12300,11200,23500,12600,11400,24000,13000,11700,24700,13300,12000,25300,13600,12200,25800,14000,12500,26500,14300,12700,27000,14600,13000,27600,14900,13200,28100,15200,13400,28600,15500,13600,29100,15800,13800,29600,16000,14000,30000
, Muwanga ,9400,9000,18400,9600,9200,18800,9900,9400,19300,10200,9600,19800,10400,9900,20300,10700,10100,20800,11000,10300,21300,11200,10500,21700,11500,10700,22200,11800,11000,22800,12000,11200,23200,12300,11400,23700,12600,11600,24200,12800,11800,24600,13000,11900,24900,13200,12100,25300
, Lwamata town Council ,3300,3700,7000,3400,3800,7200,3500,3900,7400,3600,4000,7600,3700,4000,7700,3800,4100,7900,3900,4200,8100,4000,4300,8300,4100,4400,8500,4200,4500,8700,4300,4600,8900,4400,4700,9100,4500,4700,9200,4600,4800,9400,4600,4900,9500,4700,5000,9700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Kyankwanzi ,,116200,107000,223200,122200,112000,234200,128400,117200,245600,135000,122600,257600,141800,128200,270000,148800,134000,282800,156100,140000,296100,163600,146100,309700,171400,152500,323900,179400,158900,338300,187600,165600,353200,196000,172400,368400,204700,179300,384000,213400,186300,399700,222400,193400,415800,231300,200300,431600
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Bananywa ,16700,15500,32200,17700,16200,33900,18500,17000,35500,19600,17800,37400,20500,18600,39100,21500,19400,40900,22700,20100,42800,23700,21200,44900,24900,22000,46900,25900,23100,49000,27300,24100,51400,28400,25000,53400,29700,26000,55700,31000,27000,58000,32300,27900,60200,33400,29300,62700
, Butemba ,10400,9500,19900,10900,10000,20900,11500,10400,21900,12100,10900,23000,12700,11400,24100,13300,11900,25200,13900,12500,26400,14600,13000,27600,15300,13600,28900,16000,14100,30100,16700,14700,31400,17500,15300,32800,18300,16000,34300,19100,16600,35700,19900,17200,37100,20700,17800,38500
, Butemba Town Council ,7700,7200,14900,8100,7600,15700,8500,7900,16400,8900,8300,17200,9400,8700,18100,9800,9000,18800,10300,9500,19800,10800,9900,20700,11300,10300,21600,11900,10700,22600,12400,11200,23600,13000,11600,24600,13500,12100,25600,14100,12600,26700,14700,13100,27800,15300,13500,28800
, Gayaza ,11200,10000,21200,11800,10500,22300,12400,10900,23300,13100,11400,24500,13700,12000,25700,14400,12500,26900,15100,13100,28200,15800,13600,29400,16600,14200,30800,17400,14800,32200,18200,15500,33700,19000,16100,35100,19800,16700,36500,20700,17400,38100,21500,18100,39600,22400,18700,41100
, Kyankwanzi ,2400,2000,4400,2500,2100,4600,2600,2200,4800,2700,2300,5000,2900,2400,5300,3000,2500,5500,3200,2600,5800,3300,2700,6000,3500,2900,6400,3600,3000,6600,3800,3100,6900,4000,3200,7200,4100,3400,7500,4300,3500,7800,4500,3600,8100,4700,3700,8400
, Mulagi ,6700,6900,13600,7000,7200,14200,7400,7500,14900,7700,7900,15600,8100,8200,16300,8500,8600,17100,8900,9000,17900,9400,9400,18800,9800,9800,19600,10300,10200,20500,10700,10600,21300,11200,11100,22300,11700,11500,23200,12200,11900,24100,12700,12400,25100,13200,12800,26000
, Nkandwa ,6900,6500,13400,7200,6800,14000,7600,7200,14800,8000,7500,15500,8400,7800,16200,8800,8200,17000,9200,8500,17700,9700,8900,18600,10100,9300,19400,10600,9700,20300,11100,10100,21200,11600,10500,22100,12100,10900,23000,12600,11400,24000,13200,11800,25000,13700,12200,25900
, Nsambya ,14500,12900,27400,15300,13500,28800,16100,14100,30200,16900,14800,31700,17700,15400,33100,18600,16100,34700,19500,16900,36400,20500,17600,38100,21500,18400,39900,22500,19100,41600,23500,19900,43400,24500,20800,45300,25600,21600,47200,26700,22400,49100,27800,23300,51100,29000,24100,53100
, Ntwetwe ,9600,8600,18200,10100,9000,19100,10600,9400,20000,11100,9900,21000,11700,10300,22000,12300,10800,23100,12900,11300,24200,13500,11800,25300,14100,12300,26400,14800,12800,27600,15500,13300,28800,16100,13900,30000,16900,14400,31300,17600,15000,32600,18300,15600,33900,19100,16100,35200
, Ntwetwe  Town Council ,5300,5300,10600,5600,5500,11100,5800,5800,11600,6100,6000,12100,6400,6300,12700,6800,6600,13400,7100,6900,14000,7400,7200,14600,7800,7500,15300,8200,7800,16000,8500,8100,16600,8900,8500,17400,9300,8800,18100,9700,9200,18900,10100,9500,19600,10500,9900,20400
, Wattuba ,11200,10600,21800,11800,11100,22900,12400,11600,24000,13000,12100,25100,13700,12700,26400,14400,13300,27700,15100,13900,29000,15800,14500,30300,16500,15100,31600,17300,15700,33000,18100,16400,34500,18900,17100,36000,19800,17800,37600,20600,18400,39000,21500,19200,40700,22300,19800,42100
, Byerima ,8600,7900,16500,9000,8200,17200,9500,8600,18100,10000,9000,19000,10500,9400,19900,11000,9900,20900,11500,10300,21800,12100,10700,22800,12600,11200,23800,13200,11700,24900,13800,12200,26000,14500,12700,27200,15100,13200,28300,15700,13700,29400,16400,14200,30600,17100,14700,31800
, Kyankwanzi Town Council ,3500,2900,6400,3700,3000,6700,3900,3200,7100,4100,3300,7400,4300,3500,7800,4500,3600,8100,4700,3800,8500,4900,3900,8800,5200,4100,9300,5400,4300,9700,5600,4500,10100,5900,4600,10500,6200,4800,11000,6400,5000,11400,6700,5200,11900,7000,5400,12400
, Banda ,1500,1200,2700,1500,1300,2800,1600,1400,3000,1700,1400,3100,1800,1500,3300,1900,1600,3500,2000,1600,3600,2100,1700,3800,2200,1800,4000,2300,1900,4200,2400,1900,4300,2500,2000,4500,2600,2100,4700,2700,2200,4900,2800,2300,5100,2900,2300,5200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
